class,n_map,n_reference,users_acc,producers_acc,f1
non_forest,93,19,0.16129032258064516,0.7894736842105263,0.2678571428571429
natural_forest,27,93,0.8518518518518519,0.24731182795698925,0.3833333333333333
plantation,0,0,,,
water,0,8,,0.0,0.0
