district,experiment,features,macro_f1_mean,macro_f1_std,forest_f1_mean,forest_f1_std,plantation_f1_mean,overall_acc_mean
gazipur,E1,20,0.7805033345317888,0.0008755626582573324,0.71542463455877,0.0017969709446599153,,0.7835185185185186
gazipur,E2,23,0.7978605739567718,0.0008698957310166997,0.7308868012288737,0.0020339944075166033,,0.8002777777777778
sylhet,E1,20,0.7675674234877127,0.0019795745162239356,0.6429776913635376,0.0027143085191705693,0.7932351150295637,0.7698611111111111
sylhet,E2,23,0.7882989036673455,0.0019315281327070063,0.6622138553839524,0.002837356678806009,0.8103497994004366,0.7899305555555557
bandarban,E1,20,0.7431471132922111,0.008102922949028517,0.6775112617720799,0.0002256230601261663,,0.6866002214839425
bandarban,E2,23,0.7358512256036728,0.0012914166503784042,0.6797915355607352,0.0020100051686647033,,0.6929678848283499
