class,n_map,n_reference,users_acc,producers_acc,f1
non_forest,121,97,0.5867768595041323,0.7319587628865979,0.6513761467889907
natural_forest,52,77,0.4807692307692308,0.3246753246753247,0.3875968992248062
plantation,7,0,0.0,,0.0
water,0,6,,0.0,0.0
