class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
no_loss,0.997536008470776,179338.84091861866,433.03656566422075,848.7516687018725,98
forest_loss,0.0024639915292239334,442.9808860351136,433.0365656642208,848.7516687018727,2
