class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
non_forest,0.028187668829443267,12949.682641555297,10596.74129672378,20769.612941578605,4
natural_forest,0.9088657269285941,417541.5426769157,16197.264958366723,31746.63931839878,108
plantation,0.0,0.0,0.0,0.0,0
water,0.06294660424196258,28918.26753142302,12618.315213448544,24731.897818359146,8
