class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
no_loss,0.9786360636846521,319073.87914626166,5487.272948494048,10755.054979048333,173
forest_loss,0.017012307270827916,5546.681831541771,5487.272948494051,10755.05497904834,7
