class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
non_forest,0.7820921547231263,254992.8281998993,15923.43590795166,31209.93437958525,97
natural_forest,0.1278390479886922,41680.56181634953,11949.06163065386,23420.160796081567,77
plantation,0.0,0.0,0.0,0.0,0
water,0.08571716824366143,27947.170961554602,11808.773937201824,23145.196916915575,6
