class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
non_forest,0.7467495349763165,134251.9918298202,13124.020512998295,25723.080205476657,57
natural_forest,0.2532504650236835,45529.82997483357,13124.020512998295,25723.080205476657,43
plantation,0.0,0.0,0.0,0.0,0
water,0.0,0.0,0.0,0.0,0
