chain,band,ols_slope,ols_intercept,rma_slope,rma_intercept,selected,n_fit_pixels
LE07_to_LC08,blue,0.7215036449126384,0.006164501678386189,0.9452536110212953,-0.004119908813081122,local_ols,24140
LE07_to_LC08,green,0.804490929963253,0.01358218940626052,0.9552204351509083,0.003376883307376774,roy,24140
LE07_to_LC08,red,0.8742115126968685,0.005028493657265017,0.9691621863052255,-0.0010152818195856977,local_ols,24140
LE07_to_LC08,nir,1.015109993037843,0.001685876030057681,1.0823569738110783,-0.014075104696599366,local_rma,24140
LE07_to_LC08,swir1,0.9155224860633275,0.011391296153308618,0.9753361730583484,0.0013345089687607503,local_rma,24140
LE07_to_LC08,swir2,0.8980015893909611,0.011097732584549493,0.954938337539273,0.005599386306990417,raw,24140
LT05_to_LE07,blue,0.6455655832037422,0.015272930567723907,1.0065918881635119,-0.004692804918718249,raw,28107
LT05_to_LE07,green,0.7052919143633759,0.01717637548250413,0.9258862346548385,-0.00026776435384075203,roy,28107
LT05_to_LE07,red,0.8601146189650799,0.0054903609232436305,1.000996583466493,-0.005366145398791905,local_rma,28107
LT05_to_LE07,nir,0.8934800095693133,0.020816477064756107,0.9704692976828876,0.002763575588674516,raw,28107
LT05_to_LE07,swir1,0.9017347985047113,0.014155329245251601,0.9772110103630974,0.0009505850640905145,raw,28107
LT05_to_LE07,swir2,0.9243981823577171,0.007972086161360274,1.006977360008615,-0.00017235284584937727,raw,28107
