district,method,class,area_ha,share
gazipur,pcc,no_change,130836.49558864925,0.7200538670638432
gazipur,pcc,forest_loss,11225.396296864614,0.06177855785968287
gazipur,pcc,gain,39641.868865275515,0.21816757507647405
gazipur,ndvi,no_change,163719.19624072174,0.9010266585529032
gazipur,ndvi,change,17983.747492001414,0.09897334144709674
