class,proportion,adjusted_area_ha,se_ha,ci95_ha,n_reference
no_loss,0.9998473668395107,459339.37172704155,48.80223611247466,95.65238278045032,118
forest_loss,0.00015263316048938307,70.12112285250396,48.802236112474674,95.65238278045037,2
