point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes,kappa_subset
SYL-0236,sylhet,stable_forest,91.991587,24.963412,,,,,True
SYL-0237,sylhet,stable_forest,91.94766,24.689066,,,,,False
SYL-0238,sylhet,stable_forest,92.165681,24.805757,,,,,False
SYL-0241,sylhet,stable_forest,92.188318,25.075252,,,,,False
SYL-0244,sylhet,stable_forest,92.474522,24.920023,,,,,False
SYL-0248,sylhet,stable_forest,92.227665,24.932959,,,,,False
SYL-0249,sylhet,stable_forest,91.771949,25.130498,,,,,True
SYL-0255,sylhet,stable_forest,92.309591,24.948589,,,,,False
SYL-0259,sylhet,stable_forest,92.330881,24.938349,,,,,False
SYL-0262,sylhet,stable_forest,92.112321,25.037523,,,,,False
SYL-0265,sylhet,stable_forest,92.406878,24.918675,,,,,False
SYL-0274,sylhet,stable_forest,91.730447,24.802523,,,,,False
SYL-0283,sylhet,stable_forest,92.210686,25.100584,,,,,False
SYL-0284,sylhet,stable_forest,92.114746,24.827047,,,,,False
SYL-0289,sylhet,stable_forest,91.709157,24.921101,,,,,False
SYL-0292,sylhet,stable_forest,91.999672,24.693917,,,,,False
SYL-0293,sylhet,stable_forest,91.998594,25.173078,,,,,True
SYL-0295,sylhet,stable_forest,91.910469,25.029977,,,,,False
SYL-0296,sylhet,stable_forest,91.988353,24.957483,,,,,False
SYL-0301,sylhet,forest_loss,91.942,24.961525,,,,,False
SYL-0303,sylhet,forest_loss,91.943887,24.672896,,,,,False
SYL-0306,sylhet,forest_loss,91.908583,24.93754,,,,,False
SYL-0313,sylhet,forest_loss,92.080251,25.169305,,,,,False
SYL-0318,sylhet,forest_loss,92.285875,25.067436,,,,,False
SYL-0319,sylhet,forest_loss,92.017459,25.179546,,,,,False
SYL-0320,sylhet,forest_loss,92.365107,25.014885,,,,,False
SYL-0322,sylhet,forest_loss,92.16595,25.083337,,,,,False
SYL-0330,sylhet,forest_loss,91.839862,25.077677,,,,,False
SYL-0332,sylhet,forest_loss,91.930412,24.930533,,,,,False
SYL-0334,sylhet,forest_loss,91.939036,24.673435,,,,,False
SYL-0337,sylhet,forest_loss,91.987275,24.674783,,,,,False
SYL-0341,sylhet,forest_loss,92.162177,24.807105,,,,,False
SYL-0342,sylhet,forest_loss,92.313094,25.058813,,,,,False
SYL-0344,sylhet,forest_loss,91.96356,24.967993,,,,,True
